Country Name,year,Agricultural land (% of land area),Agricultural water withdrawal as % of total renewable water resources,"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)",Fertilizer consumption (kilograms per hectare of arable land),Forest area (% of land area),Permanent cropland (% of land area)
Africa,1960,,,41.037114192255125,5039079701.95147,,,
Africa,1961,38.32946704365597,,40.11299024261267,5342556327.174843,13.319788909278934,,2.268256263862123
Africa,1962,38.41096280836087,,40.146120381882376,5374348601.485703,14.274207483989736,,2.290588425938648
Africa,1963,38.49999405062139,,40.67923732933174,5750808937.856503,15.763321767621411,,2.307902040600025
Africa,1964,38.61142240838024,,38.59969984219168,6097494802.985632,16.54201623905075,,2.3329439066409794
Africa,1965,38.753538995796696,,36.713013797087534,8359605913.494285,16.29499038749122,,2.3757053744870675
Africa,1966,38.80188866790096,,34.93123290600459,8791882085.993256,13.928465220251685,,2.395184050025464
Africa,1967,38.9485695028766,,34.666379444675314,9215525633.628893,15.573518088984642,,2.4155792092572845
Africa,1968,39.07982178393521,,33.56556491055527,9469989032.923368,15.310819434605058,,2.426917243334025
Africa,1969,39.283135553653885,,32.736498679763216,10116544320.37947,16.248688362332018,,2.4635479779393727
Africa,1970,39.30692366312338,0.238623646,33.509945566036414,11169345453.356129,17.937052010631085,,2.522908337426639
Africa,1971,39.39214875660065,0.2533330175,32.852359033222065,12199307719.049942,19.14136260236983,,2.561324901964809
Africa,1972,39.54693422249801,0.2680423885,33.69370398367386,13738770355.36611,21.58957449085364,,2.591988519951548
Africa,1973,39.694639182899074,0.28275176,33.90848043997964,17069410765.389978,19.06669748612898,,2.6446861030647675
Africa,1974,39.84968665430405,3.552239324666667,32.391562716376455,19977239878.545097,19.34774453862321,,2.6777066155079376
Africa,1975,39.78698651454048,3.562045572,32.46864954430464,22627700561.9926,19.54742985334934,,2.7231767367681807
Africa,1976,39.96243086422931,3.699798110666667,31.27993268002293,23733033077.82513,48.39734109110874,,2.7513409085791807
Africa,1977,40.05588992261146,3.8375506493333336,31.84306326799246,27222877138.564934,50.48869586767707,,2.8016665782049475
Africa,1978,40.224018821201724,3.975303188,30.67947833774945,29804153200.759872,55.8869102382824,,2.868498296615687
Africa,1979,40.1899958106676,4.113055726333333,29.92409536538173,32769566767.871605,66.17313513448677,,2.874698251557567
Africa,1980,40.14517063541076,8.521100570166666,27.86000834458068,35797127251.78503,51.52021202303391,,2.8926701717349026
Africa,1981,40.27148156837955,9.024520070166666,27.76483727202629,59864226933.53002,28.38034806153299,,2.949776346633919
Africa,1982,40.3792026247256,9.527939570166666,26.93735117547925,57380971445.25935,48.61776631765151,,2.93962837122915
Africa,1983,40.46001934886665,10.031359070333332,26.276999820477783,51368217985.7515,38.80693007787138,,2.9879588869114064
Africa,1984,40.580343722584445,9.713998418285714,25.752032976694863,50177762992.42159,27.035177832833643,,3.032175229960042
Africa,1985,40.77386106540349,29.686854891583334,26.425956909309125,51841389515.777374,28.73890499167893,,3.0792204629426383
Africa,1986,40.927656643960624,35.28088944541667,25.98657458916204,55249463591.51378,31.12611670355668,,3.109379656000586
Africa,1987,41.03072438451429,17.55471624003448,26.66983509539462,62471087168.707886,32.24464524322373,,3.1748246781701583
Africa,1988,41.12785860182592,19.329716606633333,27.12854634977656,66470360442.9862,29.636626946714745,,3.195820504681916
Africa,1989,41.10178113433328,21.65115660896667,26.305982721456267,67078640353.05295,29.20398431196194,,3.188489990558946
Africa,1990,41.15708207244542,23.341988162666667,25.469334321414944,79488987103.75412,28.432253124929566,33.05136430858825,3.157312211524531
Africa,1991,41.27773545391606,22.55328106275676,24.786505646277632,87575406794.31926,29.10429481025361,32.90224496322975,3.1169942065131453
Africa,1992,41.34907955850868,21.29254560917949,24.24399215679444,67560242048.52309,27.17340221925511,32.75312561787125,3.128753442546377
Africa,1993,41.90130886303454,21.081441337179488,24.57187688811248,69008240285.53873,27.84065923021486,31.93332086370705,3.107046582210496
Africa,1994,41.88162108756324,20.46562146255,24.512519778744338,76835649278.57416,25.84324015020795,31.78793135607941,3.100586592148006
